s1_entity_id	candidate_entity_id
S1-53356671	S3-468658814
S1-53356671	S2-904412198
S1-53356671	S2-255338248
S1-53356671	S3-401976049
S1-53356671	S2-454162657
S1-53356671	S2-256033433
S1-53356671	S2-242514743
S1-53356671	S2-543156737
S1-53356671	S3-859589808
S1-53356671	S3-996978203
S1-53356671	S2-495368974
S1-53356671	S3-842083806
S1-53356671	S2-388375900
S1-53356671	S3-982690273
S1-53356671	S3-878543151
S1-53356671	S2-453334141
S1-53356671	S3-715077646
S1-53356671	S3-286532146
S1-53356671	S3-599264489
S1-53356671	S3-785730826
S1-53356671	S2-723656114
S1-53356671	S3-817026958
S1-53356671	S3-742350942
S1-53356671	S3-873526616
S1-53356671	S2-4409287
S1-53356671	S3-231422148
S1-53356671	S3-41592555
S1-53356671	S3-128384129
S1-53356671	S3-206064045
S1-53356671	S2-16557943
S1-53356671	S2-42240112
S1-53356671	S3-516417565
S1-53356671	S2-162818519
S1-53356671	S2-906774385
S1-53356671	S2-240937471
S1-53356671	S3-55456391
S1-53356671	S2-324482807
S1-53356671	S3-688680940
S1-53356671	S3-253169325
S1-53356671	S3-409566858
S1-53356671	S3-478929518
S1-53356671	S3-184791326
S1-53356671	S3-601321135
S1-53356671	S3-442326482
S1-53356671	S2-19055173
S1-53356671	S3-769253423
S1-53356671	S2-355977389
S1-53356671	S2-281446020
S1-53356671	S3-874541953
S1-53356671	S2-477172236
S1-320151505	S2-860205683
S1-320151505	S2-951553277
S1-320151505	S3-975397820
S1-320151505	S3-426871795
S1-320151505	S3-382474657
S1-320151505	S2-388078492
S1-320151505	S3-683185340
S1-320151505	S2-493508786
S1-320151505	S3-828539345
S1-320151505	S3-220708398
S1-320151505	S3-21110445
S1-320151505	S2-678410194
S1-320151505	S2-887222808
S1-320151505	S3-222585638
S1-320151505	S3-478640466
S1-320151505	S3-509503903
S1-320151505	S3-585990109
S1-320151505	S2-899796310
S1-320151505	S3-11241179
S1-320151505	S3-980653264
S1-320151505	S3-676560796
S1-320151505	S3-493517158
S1-320151505	S3-592806061
S1-320151505	S2-337206854
S1-320151505	S3-598055611
S1-320151505	S3-482107933
S1-320151505	S3-972239652
S1-320151505	S2-790404897
S1-320151505	S3-121597783
S1-320151505	S3-69202935
S1-320151505	S3-551388423
S1-320151505	S2-809174450
S1-320151505	S2-507190615
S1-320151505	S2-737132769
S1-320151505	S3-140043894
S1-320151505	S2-331454298
S1-320151505	S3-231160208
S1-320151505	S2-189565784
S1-320151505	S2-115343573
S1-320151505	S2-781707545
S1-320151505	S2-738632487
S1-320151505	S2-845475707
S1-320151505	S2-143716485
S1-320151505	S2-546713261
S1-320151505	S2-222429045
S1-320151505	S3-274801066
S1-320151505	S3-15182788
S1-320151505	S3-808754795
S1-320151505	S3-413649228
S1-320151505	S3-771120917
S1-938947364	S3-268060208
S1-938947364	S3-544960509
S1-938947364	S3-338151006
S1-938947364	S2-663381482
S1-938947364	S2-768021392
S1-938947364	S3-172640712
S1-938947364	S3-428359117
S1-938947364	S3-414990761
S1-938947364	S2-165977841
S1-938947364	S2-83829047
S1-938947364	S2-574997946
S1-938947364	S3-651504280
S1-938947364	S2-421666308
S1-938947364	S3-303609524
S1-938947364	S2-699636306
S1-938947364	S2-980698305
S1-938947364	S3-958920797
S1-938947364	S2-167124257
S1-938947364	S2-522052970
S1-938947364	S3-185929397
S1-938947364	S2-224087352
S1-938947364	S3-845105710
S1-938947364	S3-348897640
S1-938947364	S3-206555903
S1-938947364	S2-304799060
S1-938947364	S3-305023389
S1-938947364	S3-636020631
S1-938947364	S2-642232023
S1-938947364	S3-550600723
S1-938947364	S2-510278810
S1-938947364	S3-220209309
S1-938947364	S2-963410234
S1-938947364	S3-65517917
S1-938947364	S3-151037671
S1-938947364	S3-940133236
S1-938947364	S3-685599646
S1-938947364	S2-418565
S1-938947364	S2-267104752
S1-938947364	S3-18849472
S1-938947364	S3-942354631
S1-938947364	S3-216188031
S1-938947364	S2-578195413
S1-938947364	S3-391921651
