s1_entity_id	candidate_entity_id	blocking_methods	num_blockers	max_block_score
S1-103306793	S2-107217870	name_char_tfidf	1	0.3720653959136241
S1-103306793	S2-157912672	name_token	1	2.0
S1-103306793	S2-160221902	name_token	1	2.0
S1-103306793	S2-177498220	address	1	3.0
S1-103306793	S2-186650811	address,name_char_tfidf,name_fuzzy	3	7.0
S1-103306793	S2-193827278	name_token	1	2.0
S1-103306793	S2-195710409	name_char_tfidf,name_fuzzy	2	0.55
S1-103306793	S2-229208967	name_fuzzy	1	0.6470588235294117
S1-103306793	S2-238789447	name_char_tfidf,name_fuzzy	2	0.6341463414634146
S1-103306793	S2-243239635	name_char_tfidf,name_token	2	2.0
S1-103306793	S2-257957326	name_char_tfidf,name_fuzzy,name_token	3	2.0
S1-103306793	S2-264577123	name_char_tfidf,name_fuzzy	2	0.6111111111111112
S1-103306793	S2-295900720	address	1	3.0
S1-103306793	S2-369183896	name_token	1	2.0
S1-103306793	S2-369966103	address	1	2.0
S1-103306793	S2-390370686	name_char_tfidf,name_fuzzy,name_token	3	2.0
S1-103306793	S2-411345423	name_char_tfidf,name_fuzzy,name_token	3	2.0
S1-103306793	S2-437670103	address	1	2.0
S1-103306793	S2-452022785	name_char_tfidf,name_fuzzy,name_token	3	2.0
S1-103306793	S2-466897830	address	1	3.0
S1-103306793	S2-483730262	name_char_tfidf	1	0.38492708802524345
S1-103306793	S2-501907327	name_char_tfidf,name_fuzzy	2	0.7027027027027026
S1-103306793	S2-505114798	name_fuzzy	1	0.5641025641025641
S1-103306793	S2-535939399	name_fuzzy,name_token	2	2.0
S1-103306793	S2-559450879	address	1	3.0
S1-103306793	S2-574644277	name_token	1	2.0
S1-103306793	S2-583581365	name_char_tfidf,name_fuzzy	2	0.7096774193548387
S1-103306793	S2-595954587	address	1	2.0
S1-103306793	S2-599466623	name_char_tfidf,name_fuzzy,name_token	3	2.0
S1-103306793	S2-636908995	name_char_tfidf,name_token	2	2.0
S1-103306793	S2-656566095	name_token	1	2.0
S1-103306793	S2-659840599	name_token	1	2.0
S1-103306793	S2-663575300	name_char_tfidf,name_token	2	2.0
S1-103306793	S2-674436208	name_token	1	2.0
S1-103306793	S2-693147942	name_char_tfidf,name_fuzzy,name_token	3	2.0
S1-103306793	S2-698680089	address	1	2.0
S1-103306793	S2-73205512	name_fuzzy,name_token	2	2.0
S1-103306793	S2-746133628	name_char_tfidf,name_fuzzy,name_token	3	2.0
S1-103306793	S2-765282118	name_fuzzy	1	0.5777777777777777
