s1_entity_id	true_entity_id	retrieved_address	retrieved_name_token	retrieved_name_char_tfidf	retrieved_name_fuzzy
S1-211535546	S3-419719124	False	False	False	False
S1-347000383	S2-389980705	False	False	False	False
S1-690151152	S2-228559678	False	False	False	False
S1-785596927	S3-110844528	False	False	False	False
S1-382861164	S2-957263226	False	False	False	False
S1-938180046	S3-887255272	False	False	False	False
S1-862712171	S3-345210508	False	False	False	False
S1-867672249	S3-43010272	False	False	False	False
S1-431442616	S2-244539887	False	False	False	False
S1-632088756	S3-891701181	False	False	False	False
S1-635481769	S3-194384041	False	False	False	False
S1-24424354	S2-817827446	False	False	False	False
S1-24424354	S3-862089762	False	False	False	False
