entity_id	business_name	business_address	country
S1-53356671	Pediatric Medicine PLLC	4850 20, Otisco, NY	US
S1-320151505	Fetech National Twin	19034 Woodburn Road, Woodburn, IN	US
S1-938947364	General Design Innovations LLC	7241 Osage Avenue, Mesa, AZ	US
S1-195839862	Construction Ideaz Papers Private Limited	Building No.4/606, Prabhul Cottage Karimbalur, Elakamon, Ayiroor P.O., Thiruvananthapuram, Trivandrum, Kerala	India
S1-655046555	Penaloza and Bittle First Inc.	4255 Charleswood Avenue, Memphis, TN	US
S1-758070915	National Investments LLC	1641 Virginia Lane, Hueytown, AL	US
S1-169338169	Reus Idaho Company	Sanford, ME, 31 Guillemette Street	US
S1-796421498	Creative Projects Limited	12Thfloor, C, 1204, Roya Oasis, Jankalyan Nagarmalvani, Nr Billabong School, Malad W, Mumbai, Mumbai City, Maharashtra	India
S1-802535179	Goar Stone LLC	2105 Wood Ridge Cove, Cedar Park, TX	US
S1-97176033	Lakshmi Consultants Private Limited	A-301, New Sai Dham Chsl, Ramdev Park Road, Thane, Maharashtra	India
S1-983540069	Ss Technology Private Limited	Shop No. 1164, Pvt No.2, First Floor Kucha Mahajani, Chandni Chowk, Delhi, Central Delhi, Delhi	India
S1-642488269	Rebbecca's Family Practice	2514 Messick Drive, Goshen, IN	US
S1-426953208	Heritage Society LLC	139 Fort Graham Road, Whitney, TX	US
S1-818320211	Rozy Media Limited	Survey Number 127/P1, Opp, 66 Kv Ss, Varetha, Mahesana, Kheralu, Mahesana, Gujarat	India
S1-33984562	Slate PLLC	735 Charlton Street, Southbridge, MA	US
S1-709960468	Apex Center	4 Hillside Court, Coxsackie, NY	US
S1-986840295	M 9 Certified Giant LLC	4122 Scenic Drive, Dickinson, TX	US
S1-836296604	Coromandal Marketing Private Limited	G-3, Neel Madhav, Valji Ladha Cross Road, Near Hiera Mongi Hospital, Mulund (W), Mumbai, Maharashtra	India
S1-975412735	Preferred Business Systems Inc	Loudoun County, 23355 Florina Court, VA	US
S1-739708548	Dream Investment Pvt Ltd	2A, 2Nd Floor, Windcliffe, 50 D Peddar Road, Cumballa Hill, Mumbai, Mumbai City, Maharashtra	India
S1-721469485	Primary Care Center of Staten Island Inc	130 Hunter Avenue, Staten Island, NY	US
S1-216733182	Spak Brothers	304/A, Shyamal Kunj 2, B/H Arya Shri, Opp Pentagon Appartment, Rajkot, Gujarat	India
S1-369198632	Federman Chimera Associates	Charlotte, 9214 Arbor Creek Drive, NC	US
S1-589302928	Munoz & Kaufman Inc	408 Hancock Street, Richmond City, VA	US
S1-527497541	Alpha Care Limited	Maharashtra, A 204 Sawali Co Op Hsg Soc Plot 41 Sec 5 Khargar, Raigarh, Khargar	India
S1-951433056	Dv College	Shop No 408, Third Floor, Shopprix Mall, Sector 5, Ghaziabad, Uttar Pradesh	India
S1-857232066	Ayra Traders Pvt Ltd	No. 2-131, Gulbarga, Karnataka, Opp. Hasnapur Camp, Post Divalgudda, Shorapur, Yadgir	India
S1-391683240	Patriot Tire Shop Group	Patriot, OH, 280 Wright Road	US
