source1_entity_id	candidate_entity_ids
S1-53356671	S2-108977704,S2-116324647,S2-16226755,S2-162818519,S2-16557943,S2-19055173,S2-240937471,S2-242514743,S2-255338248,S2-256033433,S2-256128343,S2-281446020,S2-324482807,S2-32633855,S2-345025523,S2-355977389,S2-360146822,S2-388375900,S2-395530013,S2-404089001,S2-42240112,S2-438359903,S2-4409287,S2-453334141,S2-454162657,S2-477172236,S2-495368974,S2-512366806,S2-517979987,S2-543156737,S2-569053927,S2-598991538,S2-61006635,S2-645811582,S2-648468373,S2-723656114,S2-74421103,S2-747083995,S2-810421188,S2-822352586,S2-838267419,S2-847723783,S2-847992560,S2-852252181,S2-883484447,S2-904412198,S2-906774385,S2-914659045,S2-941759992,S2-95998181,S2-977759409,S2-98296923,S2-989014134,S3-123486711,S3-128384129,S3-184791326,S3-19144056,S3-206064045,S3-231422148,S3-252986,S3-253169325,S3-286532146,S3-301534847,S3-321244810,S3-381180134,S3-401976049,S3-409566858,S3-41592555,S3-442326482,S3-458259316,S3-463006426,S3-468658814,S3-478929518,S3-489829964,S3-516417565,S3-517135813,S3-520298562,S3-55456391,S3-599264489,S3-601321135,S3-638199910,S3-644124586,S3-688680940,S3-705717712,S3-715077646,S3-742350942,S3-754550143,S3-766019469,S3-769253423,S3-770133094,S3-781573127,S3-785730826,S3-789143446,S3-817026958,S3-842083806,S3-859589808,S3-873526616,S3-874541953,S3-878543151,S3-886802183,S3-900182732,S3-981690122,S3-982690273,S3-996978203
S1-320151505	S2-115343573,S2-131944638,S2-143716485,S2-189565784,S2-222429045,S2-230628758,S2-331454298,S2-337206854,S2-388078492,S2-493508786,S2-507190615,S2-546713261,S2-55989037,S2-561727516,S2-678410194,S2-690266771,S2-737132769,S2-738632487,S2-745236226,S2-781707545,S2-790404897,S2-809174450,S2-845475707,S2-860205683,S2-887222808,S2-899796310,S2-951553277,S2-980402180,S3-11241179,S3-121597783,S3-140043894,S3-15182788,S3-21110445,S3-220708398,S3-222585638,S3-231160208,S3-271935541,S3-274801066,S3-382474657,S3-400574851,S3-413649228,S3-426871795,S3-472011772,S3-478640466,S3-482107933,S3-493517158,S3-509503903,S3-551388423,S3-577793549,S3-585990109,S3-592806061,S3-598055611,S3-659572126,S3-676560796,S3-683185340,S3-69202935,S3-771120917,S3-781038322,S3-808754795,S3-828539345,S3-838209260,S3-972239652,S3-975397820,S3-980653264
S1-938947364	S2-159830603,S2-165977841,S2-167124257,S2-2147438,S2-224087352,S2-24779332,S2-267104752,S2-270754562,S2-297929959,S2-30015020,S2-304799060,S2-418565,S2-421666308,S2-427927841,S2-510278810,S2-522052970,S2-574997946,S2-578195413,S2-591094791,S2-596504611,S2-597283279,S2-642232023,S2-658599356,S2-663381482,S2-699636306,S2-768021392,S2-79739809,S2-83829047,S2-898748309,S2-95041674,S2-963410234,S2-966500811,S2-980698305,S3-151037671,S3-172640712,S3-175677875,S3-185929397,S3-18849472,S3-206555903,S3-206836310,S3-216188031,S3-220209309,S3-23639057,S3-268060208,S3-303609524,S3-305023389,S3-338151006,S3-348897640,S3-391921651,S3-414990761,S3-428359117,S3-44390347,S3-471178365,S3-472324207,S3-52053188,S3-544960509,S3-550600723,S3-632353004,S3-636020631,S3-651504280,S3-65517917,S3-685599646,S3-744180029,S3-748425071,S3-781666339,S3-791803435,S3-840703614,S3-845105710,S3-878873060,S3-940133236,S3-942354631,S3-950808569,S3-958920797,S3-991919393
S1-195839862	S2-108728068,S2-12142227,S2-138839775,S2-175897930,S2-187505319,S2-216045158,S2-220942785,S2-229301244,S2-232134153,S2-265132294,S2-298299906,S2-344984473,S2-362505590,S2-364385480,S2-393861414,S2-407227278,S2-414640650,S2-429438044,S2-45006699,S2-468833882,S2-478439612,S2-48537853,S2-487594272,S2-499424559,S2-508496196,S2-510314780,S2-51395753,S2-513983055,S2-53358549,S2-549273139,S2-557996746,S2-589374911,S2-589446739,S2-590030347,S2-595854159,S2-603306267,S2-648014669,S2-681592423,S2-740446665,S2-74338792,S2-754617198,S2-75685424,S2-776108614,S2-780547093,S2-781173473,S2-800109531,S2-809790208,S2-822648104,S2-840524369,S2-84462712,S2-858034140,S2-890897205,S2-922712876,S2-944704520,S2-946861114,S2-950313954,S2-981531199,S2-993561019,S3-101538028,S3-103440639,S3-148138436,S3-157661738,S3-161260530,S3-174036202,S3-177603032,S3-196233562,S3-206181266,S3-217985692,S3-234454681,S3-248326471,S3-25246144,S3-268238197,S3-271925006,S3-308684541,S3-311691124,S3-333203035,S3-346227482,S3-354651152,S3-359258999,S3-36772077,S3-371730368,S3-399524528,S3-446153310,S3-450201840,S3-470967888,S3-491276824,S3-499735645,S3-504950011,S3-513505053,S3-52389171,S3-532920051,S3-565118056,S3-574151234,S3-577195301,S3-578900462,S3-591182146,S3-600079483,S3-638474188,S3-657703832,S3-669756688,S3-685371982,S3-696147556,S3-700958179,S3-724182409,S3-728742174,S3-747358048,S3-768363324,S3-769321319,S3-776391028,S3-781297573,S3-782380418,S3-791951349,S3-804323871,S3-870478620,S3-878221716,S3-888774069,S3-896803713,S3-897285491,S3-927086675,S3-927465053,S3-93941105,S3-946443220,S3-946956103,S3-974692977,S3-983010097,S3-986622121,S3-987853130,S3-992249519
S1-655046555	S2-113600604,S2-121377752,S2-124445396,S2-143542548,S2-160652263,S2-18338721,S2-209291661,S2-228437931,S2-234179897,S2-326924360,S2-343023289,S2-350275341,S2-4323538,S2-510088552,S2-539502972,S2-602025658,S2-629417008,S2-63399896,S2-65695730,S2-660746305,S2-666344322,S2-675997835,S2-723950927,S2-730772300,S2-73156901,S2-740167472,S2-779479157,S2-879476336,S3-10788933,S3-124789381,S3-126079123,S3-188323592,S3-2359049,S3-242007570,S3-252564018,S3-271526814,S3-285388750,S3-345720307,S3-345786965,S3-387500124,S3-39699281,S3-398481821,S3-398630095,S3-399743919,S3-415868240,S3-464746422,S3-504945650,S3-506905017,S3-654148026,S3-656319339,S3-663476050,S3-725529660,S3-749581084,S3-766850323,S3-792300680,S3-795349408,S3-857631730,S3-864169743,S3-887688565,S3-949141829,S3-951234454
S1-758070915	S2-115343573,S2-117271661,S2-218526638,S2-235104006,S2-303623888,S2-31859358,S2-331454298,S2-334699467,S2-337206854,S2-401740048,S2-423704496,S2-448498481,S2-464294353,S2-47394865,S2-487080699,S2-493508786,S2-53524575,S2-537173799,S2-546713261,S2-556804291,S2-556835800,S2-563822314,S2-581254749,S2-593944503,S2-633606843,S2-656280778,S2-678410194,S2-689768993,S2-738632487,S2-764320832,S2-781707545,S2-845475707,S2-850114536,S2-860205683,S2-886049759,S2-887222808,S2-894383038,S2-899796310,S2-951553277,S2-997838077,S3-11241179,S3-121597783,S3-130267472,S3-140043894,S3-15182788,S3-21110445,S3-220708398,S3-222585638,S3-231160208,S3-317047386,S3-382412826,S3-402172522,S3-404613688,S3-413515326,S3-475672484,S3-478640466,S3-480828385,S3-482107933,S3-493517158,S3-509503903,S3-581964611,S3-585990109,S3-592806061,S3-598055611,S3-676560796,S3-681474487,S3-683185340,S3-69202935,S3-720299982,S3-736779430,S3-778245687,S3-780395818,S3-781666339,S3-788042948,S3-79403614,S3-808754795,S3-828539345,S3-859584911,S3-869674570,S3-874837651,S3-980653264
S1-169338169	S2-223459024,S2-256778946,S2-264050011,S2-264809891,S2-284986233,S2-342294012,S2-370755405,S2-382953092,S2-441993746,S2-477021975,S2-501773856,S2-519047819,S2-562932087,S2-616153066,S2-617355895,S2-624143366,S2-626887099,S2-643984188,S2-733624175,S2-735509,S2-767142222,S2-808602491,S2-851548432,S2-921187374,S3-149879507,S3-162536129,S3-176181204,S3-18065379,S3-197338591,S3-199628933,S3-201543070,S3-231602102,S3-236111634,S3-288245720,S3-295452308,S3-315557301,S3-345350625,S3-428118143,S3-47043354,S3-476139367,S3-482429848,S3-519642684,S3-523695038,S3-524341767,S3-550868183,S3-638304448,S3-671927606,S3-778116415,S3-822030286,S3-869815176,S3-902547381,S3-975819315,S3-997527752,S3-999451322
S1-796421498	S2-106063416,S2-144838333,S2-145795267,S2-164828570,S2-171591614,S2-173741606,S2-198613167,S2-204153633,S2-216344412,S2-216890887,S2-243100640,S2-259137874,S2-267465831,S2-269029052,S2-272417858,S2-272543551,S2-275625371,S2-34050913,S2-370179987,S2-380307214,S2-382336207,S2-400682766,S2-4290716,S2-43614995,S2-44323907,S2-451722068,S2-453076951,S2-489279904,S2-49289052,S2-512760064,S2-53558047,S2-536341305,S2-537671022,S2-540940810,S2-547561770,S2-548923784,S2-549238139,S2-561018765,S2-592065502,S2-602057050,S2-613048206,S2-638022376,S2-64075840,S2-643427997,S2-649963873,S2-711120231,S2-717078765,S2-762768612,S2-764371625,S2-765180306,S2-765622959,S2-800099165,S2-804595923,S2-838334389,S2-846609013,S2-849322331,S2-885017531,S2-890815163,S2-90994985,S2-946959079,S2-949724056,S2-965085554,S2-984857463,S3-11137971,S3-135328772,S3-13535648,S3-14934788,S3-169590301,S3-210635783,S3-222397998,S3-223088485,S3-257834605,S3-268627040,S3-282205144,S3-311716132,S3-327045131,S3-32866218,S3-352235547,S3-366783362,S3-408548378,S3-419777846,S3-455032999,S3-478029303,S3-542713756,S3-543309789,S3-551607344,S3-560885246,S3-569867761,S3-573648823,S3-62014171,S3-62959492,S3-631858568,S3-6396320,S3-655070981,S3-669947949,S3-681044813,S3-74583378,S3-76767585,S3-786177257,S3-813523172,S3-8226937,S3-824064646,S3-844839420,S3-883588589,S3-919130017,S3-936599683,S3-947711333,S3-970553703,S3-977890258,S3-99639849
S1-802535179	S2-10612159,S2-112894591,S2-122798400,S2-122820351,S2-158269797,S2-1666782,S2-182877375,S2-190290414,S2-195840834,S2-211681220,S2-214546554,S2-217838557,S2-242514743,S2-287698402,S2-294148111,S2-315273074,S2-331742995,S2-36629105,S2-436844992,S2-480710783,S2-484097072,S2-487080699,S2-525249842,S2-526404650,S2-527203686,S2-532090023,S2-571058179,S2-57342550,S2-585410334,S2-68983877,S2-696183753,S2-713695153,S2-755569252,S2-775979169,S2-822449630,S2-847992560,S2-873479366,S2-877372842,S2-901435066,S2-926164954,S2-934770386,S2-944629656,S2-964624564,S3-108481120,S3-128384129,S3-131958995,S3-132879457,S3-159636646,S3-171244661,S3-174860654,S3-251508043,S3-266156713,S3-269081462,S3-29501667,S3-296444583,S3-300711865,S3-329450357,S3-330841489,S3-354287361,S3-370310275,S3-377520822,S3-402172522,S3-415785756,S3-443664745,S3-459567382,S3-490238167,S3-530397638,S3-542584933,S3-570259660,S3-572277034,S3-57325942,S3-587503102,S3-589342278,S3-608382667,S3-624698782,S3-62487358,S3-647027547,S3-664812619,S3-671497875,S3-687377127,S3-702637165,S3-723284570,S3-763611571,S3-769340752,S3-770184671,S3-800549082,S3-802505729,S3-809836116,S3-816509045,S3-842083806,S3-848526598,S3-855734594,S3-863580647,S3-86395009,S3-865555337,S3-867493275,S3-899694133,S3-90871336,S3-911655769,S3-957242884,S3-977268137
S1-97176033	S2-110961797,S2-112656627,S2-129246836,S2-136901284,S2-149039582,S2-158818962,S2-175763455,S2-212701387,S2-220002592,S2-229301244,S2-230156238,S2-238844128,S2-265462783,S2-275625371,S2-283782247,S2-29780021,S2-3038630,S2-347210098,S2-350529851,S2-369515214,S2-37106749,S2-373416881,S2-374836667,S2-43614995,S2-461693500,S2-46538043,S2-513866015,S2-552926418,S2-585292686,S2-587415189,S2-591495349,S2-595665211,S2-637608,S2-646250632,S2-682551972,S2-691957051,S2-692923085,S2-698680089,S2-70702077,S2-71585060,S2-72666131,S2-730333885,S2-734716825,S2-745482385,S2-765180306,S2-796436089,S2-797524038,S2-819472936,S2-847711012,S2-848290316,S2-850854973,S2-856864565,S2-895667696,S2-927413737,S2-929399785,S2-934912346,S2-963742393,S2-972498737,S2-984215989,S3-103953981,S3-105832172,S3-117524284,S3-145352806,S3-146113092,S3-180671729,S3-185675242,S3-201775848,S3-218147806,S3-235997177,S3-248753469,S3-253035583,S3-283060533,S3-287470433,S3-289453473,S3-325382850,S3-325616064,S3-328485349,S3-330783305,S3-346227482,S3-347837200,S3-373556378,S3-389605036,S3-399524528,S3-414335719,S3-416240617,S3-424918454,S3-433552356,S3-446153310,S3-459452609,S3-550210400,S3-55402771,S3-581985190,S3-582054028,S3-589819003,S3-597268948,S3-600079483,S3-605359694,S3-619105304,S3-639795248,S3-654884040,S3-678640136,S3-68876167,S3-693492313,S3-700958179,S3-742754948,S3-754043809,S3-772071932,S3-787646,S3-87831234,S3-886920409,S3-918150131,S3-920892404,S3-938990963,S3-975921478,S3-985726224,S3-998349769
