source1_entity_id	matched_entity_ids
S1-53356671	S2-256033433,S2-453334141,S2-904412198,S3-468658814,S3-996978203
S1-320151505	S2-230628758,S2-951553277,S3-975397820
S1-938947364	S2-159830603,S3-268060208,S3-544960509
S1-195839862	S2-232134153,S2-344984473
S1-655046555	S2-113600604,S2-73156901
S1-758070915	
S1-169338169	S2-519047819,S2-626887099,S2-851548432,S3-295452308,S3-345350625
S1-796421498	S2-216890887,S2-602057050,S3-14934788,S3-327045131
S1-802535179	S2-112894591,S3-415785756,S3-770184671,S3-802505729,S3-867493275
S1-97176033	S2-682551972,S2-70702077,S3-325382850,S3-920892404
S1-983540069	S2-4190133,S2-859028958,S3-128967763,S3-18925596,S3-435171628,S3-611345729
S1-642488269	S2-216050037,S2-498910744,S3-341159746
S1-426953208	S2-346970078,S3-255726763,S3-330819499,S3-721846607
S1-818320211	
S1-33984562	S2-858316339,S3-128384129,S3-688680940,S3-851328079,S3-874541953
S1-709960468	S2-351050869,S2-519500095,S2-783218448,S3-347400419,S3-89755169
S1-986840295	S2-299296375,S2-434170203,S3-656046610,S3-881497081
S1-836296604	S2-589881795,S3-286106440,S3-357515885,S3-785125427
S1-975412735	S2-160071093,S2-688089654,S2-784038194,S3-454316628
S1-739708548	
S1-721469485	S2-194034279,S2-453647532,S3-285139890
S1-216733182	S2-403025276,S2-860721008,S3-221870645,S3-328673495,S3-83822646
S1-369198632	S2-282745196,S2-598158430,S3-469240895,S3-871488044
S1-589302928	S2-941440121,S3-621332247,S3-662229299
S1-527497541	S2-119862819,S2-285577649,S2-295208809,S3-101683680,S3-548056203
S1-951433056	S2-398388666,S2-491675548,S2-553635389,S3-99746792
S1-857232066	
S1-391683240	
S1-630149953	S2-115238959,S2-138839775,S2-229301244,S2-981531199,S3-518479504,S3-728742174
S1-207329319	S2-653613388,S2-696233561,S2-938952817,S3-358187913,S3-886772558
S1-822087158	S2-420347037,S2-609281890,S3-776441597
