source1_entity_id	matched_entity_id	source
S1-401372098	S2-58252265	S2
S1-401372098	S2-205646360	S2
S1-401372098	S2-687064785	S2
S1-951599976	S2-227003925	S2
S1-951599976	S2-907629838	S2
S1-46716098	S2-313914652	S2
S1-46716098	S3-214211825	S3
S1-46716098	S3-135087123	S3
S1-46716098	S2-989834083	S2
S1-465739288	S3-435599270	S3
S1-465739288	S3-431096672	S3
S1-465739288	S2-586371985	S2
S1-448345019	S2-670549181	S2
S1-448345019	S3-245412518	S3
S1-448345019	S3-452820751	S3
S1-448345019	S3-462678740	S3
S1-543144015	S2-284196531	S2
S1-543144015	S2-946732153	S2
S1-543144015	S2-935810015	S2
S1-246225268	S2-719794829	S2
S1-246225268	S3-272395505	S3
S1-908498505	S2-530229277	S2
S1-908498505	S2-93112731	S2
S1-908498505	S2-410769724	S2
S1-908498505	S3-70675543	S3
S1-908498505	S3-45103835	S3
S1-908498505	S2-708510386	S2
S1-60980827	S2-553077983	S2
S1-60980827	S2-719386833	S2
S1-60980827	S3-314408388	S3
S1-60980827	S2-167820016	S2
S1-960355473	S3-763567873	S3
S1-960355473	S2-443666785	S2
S1-960355473	S2-610636944	S2
S1-960355473	S3-6697299	S3
S1-960355473	S3-558846856	S3
S1-943567301	S2-553768117	S2
S1-943567301	S2-661902662	S2
S1-943567301	S2-915544878	S2
S1-943567301	S3-854383990	S3
S1-908800416	S2-993815983	S2
S1-908800416	S3-506993631	S3
S1-908800416	S2-168118183	S2
S1-908800416	S3-473341447	S3
S1-101122655	S3-783044741	S3
S1-101122655	S2-989591927	S2
S1-101122655	S3-192166021	S3
S1-101122655	S2-381445900	S2
S1-101122655	S3-57810131	S3
S1-668525331	S2-314679931	S2
S1-668525331	S3-276332444	S3
S1-368890496	S3-588351690	S3
S1-368890496	S2-177583398	S2
S1-368890496	S2-265326775	S2
S1-368890496	S3-693848739	S3
S1-368890496	S3-318924494	S3
S1-315102620	S3-21775463	S3
S1-315102620	S2-965807228	S2
S1-315102620	S3-232472227	S3
S1-315102620	S3-772648213	S3
S1-315102620	S2-709829997	S2
S1-431830647	S2-403564251	S2
S1-509961458	S2-842050450	S2
S1-509961458	S2-39401740	S2
S1-509961458	S3-381495437	S3
S1-335846790	S2-34771894	S2
S1-335846790	S3-77860208	S3
S1-335846790	S3-451432898	S3
S1-641236003	S3-618523012	S3
S1-641236003	S3-795754326	S3
S1-641236003	S2-374262031	S2
S1-641236003	S2-66455406	S2
S1-436640256	S2-644161166	S2
S1-436640256	S2-127133414	S2
S1-436640256	S2-920544402	S2
S1-436640256	S2-453740967	S2
S1-436640256	S3-382614178	S3
S1-942590387	S2-604466369	S2
S1-942590387	S3-860483867	S3
S1-942590387	S3-400759482	S3
S1-942590387	S2-715524033	S2
S1-942590387	S2-34335928	S2
S1-364282301	S3-315339696	S3
S1-364282301	S2-172283761	S2
S1-364282301	S3-319087531	S3
S1-364282301	S2-487283955	S2
S1-524036030	S3-686482320	S3
S1-524036030	S3-222443809	S3
S1-448733076	S2-883581882	S2
S1-448733076	S3-284305807	S3
S1-448733076	S2-386725157	S2
S1-448733076	S3-922924004	S3
S1-448733076	S3-696658996	S3
S1-448733076	S2-689110496	S2
S1-748867572	S3-179178329	S3
S1-748867572	S2-573190638	S2
S1-748867572	S2-150090208	S2
S1-748867572	S3-726962279	S3
S1-748867572	S2-631220695	S2
S1-98197393	S2-867691406	S2
